CEP,Latitude,Longitude,Status,Number of Restaurants,UF,Location
69900004,N/A,N/A,Skipped: Mais de 15 Place IDs existentes,20,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
69900004,N/A,N/A,Skipped: CEP já existe no resumo,0,AC,Rio Branco
